○　原付以上運転者（第1当事者）の年齢層別免許保有者10万人当たり死亡事故件数の推移												
												
年	18年	19年	20年	21年	22年	23年	24年	25年	26年	27年	28年	
年齢層別												指数
15歳以下	－	－	－	－	－	－	－	－	－	－	－	－
16～19歳	9.36 	9.27 	8.70 	8.54 	6.38 	7.27 	7.14 	7.76 	6.53 	6.07 	6.67 	71 
20～24歳	5.22 	4.56 	4.04 	4.11 	3.16 	3.21 	3.24 	2.90 	2.63 	3.04 	2.77 	53 
25～29歳	3.40 	3.23 	3.08 	2.42 	2.21 	2.47 	2.33 	2.54 	2.11 	2.10 	1.72 	51 
30～34歳	3.03 	2.53 	1.97 	1.92 	2.00 	1.71 	1.84 	1.63 	1.68 	1.48 	1.46 	48 
35～39歳	2.82 	2.68 	2.32 	2.26 	2.03 	1.74 	1.56 	1.64 	1.64 	1.53 	1.18 	42 
40～44歳	2.16 	2.30 	1.97 	1.83 	2.24 	2.15 	1.91 	1.84 	1.78 	1.42 	1.61 	74 
45～49歳	2.56 	2.22 	1.65 	1.95 	2.04 	1.76 	1.59 	1.95 	1.67 	1.52 	1.64 	64 
50～54歳	2.53 	2.69 	2.05 	1.98 	1.97 	2.18 	1.48 	1.57 	1.88 	1.89 	1.78 	70 
55～59歳	2.91 	2.66 	2.00 	1.97 	2.03 	1.68 	1.80 	1.62 	1.80 	1.79 	1.56 	53 
60～64歳	2.77 	2.35 	1.95 	2.14 	2.36 	2.23 	1.67 	1.78 	1.72 	1.69 	1.73 	63 
65～69歳	3.34 	2.27 	2.40 	1.98 	2.09 	2.16 	1.87 	2.04 	2.10 	2.02 	1.84 	55 
70～74歳	4.28 	3.91 	3.64 	2.95 	3.07 	2.78 	2.14 	2.45 	1.99 	1.94 	2.04 	48 
75～79歳	7.98 	6.02 	5.66 	5.65 	5.26 	4.23 	4.50 	3.66 	3.51 	3.22 	3.41 	43 
80～84歳	10.02 	9.09 	8.42 	5.82 	7.58 	8.15 	6.63 	6.90 	6.93 	5.81 	4.79 	48 
85歳以上	11.92 	14.19 	13.10 	14.18 	11.56 	11.32 	7.31 	10.50 	10.71 	8.98 	10.14 	85 
