○　年齢層別人口10万人当たり死者数の推移												
												
年	18年	19年	20年	21年	22年	23年	24年	25年	26年	27年	28年	
年齢層別												指数
4歳以下	0.29 	0.35 	0.26 	0.20 	0.19 	0.21 	0.40 	0.28 	0.21 	0.29 	0.23 	80 
5～9歳	0.39 	0.25 	0.43 	0.24 	0.28 	0.29 	0.24 	0.44 	0.37 	0.32 	0.26 	68 
10～14歳	0.15 	0.27 	0.28 	0.15 	0.20 	0.15 	0.14 	0.07 	0.21 	0.09 	0.18 	117 
15～19歳	2.95 	2.26 	2.04 	1.72 	1.50 	1.76 	1.37 	1.52 	1.34 	1.12 	1.25 	42 
20～24歳	2.73 	2.49 	1.87 	1.93 	1.72 	1.39 	1.57 	1.59 	1.16 	1.26 	1.40 	51 
25～29歳	1.65 	1.61 	1.30 	1.15 	1.23 	1.20 	0.90 	1.19 	1.06 	0.93 	0.76 	46 
30～34歳	1.39 	1.11 	0.91 	0.88 	0.99 	0.76 	0.91 	0.69 	0.87 	0.76 	0.88 	63 
35～39歳	1.37 	1.46 	1.11 	1.10 	0.95 	0.89 	0.79 	0.79 	0.76 	0.84 	0.81 	59 
40～44歳	1.47 	1.17 	1.11 	1.07 	1.07 	1.14 	0.99 	0.94 	0.99 	0.86 	0.78 	53 
45～49歳	1.58 	1.42 	1.10 	1.08 	1.20 	1.09 	0.88 	1.17 	1.07 	0.99 	0.95 	60 
50～54歳	1.80 	1.50 	1.14 	1.50 	1.24 	1.43 	1.19 	1.16 	1.23 	1.21 	1.08 	60 
55～59歳	2.50 	1.99 	1.63 	1.36 	1.51 	1.56 	1.26 	1.28 	1.45 	1.38 	1.31 	52 
60～64歳	2.50 	1.85 	1.90 	1.99 	1.69 	1.88 	1.51 	1.38 	1.39 	1.59 	1.15 	46 
65～69歳	3.13 	2.99 	2.69 	2.39 	2.36 	1.99 	2.21 	2.29 	2.07 	1.77 	2.04 	65 
70～74歳	4.43 	4.08 	3.54 	3.52 	3.14 	3.19 	2.51 	2.80 	2.41 	2.41 	2.16 	49 
75～79歳	5.99 	5.28 	4.71 	4.38 	5.04 	4.17 	3.70 	4.22 	3.55 	3.68 	3.54 	59 
80～84歳	7.33 	6.86 	6.05 	5.57 	5.59 	5.69 	5.03 	5.05 	4.45 	5.03 	4.23 	58 
85歳以上	5.47 	6.50 	4.83 	5.39 	4.56 	4.26 	4.40 	3.57 	4.30 	3.70 	4.42 	81 
